what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1250907716402
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250907716402
java.runtime.version,sysinfo,,,"1.7.0-ea-b33",1250907716402
java.specification.name,sysinfo,,,"Java Platform API Specification",1250907716402
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250907716402
java.specification.version,sysinfo,,,"1.7",1250907716402
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250907716402
java.version,sysinfo,,,"1.7.0-ea",1250907716402
java.vm.info,sysinfo,,,"mixed mode",1250907716402
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250907716402
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250907716402
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250907716402
java.vm.specification.version,sysinfo,,,"1.0",1250907716402
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250907716402
java.vm.version,sysinfo,,,"14.0-b01",1250907716402
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1250907723944
started,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1250907723966
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250907724127
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1250907724253
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1250907724645
opened,view,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1250907725129
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1250907725258
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1250907725352
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1250907725536
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1250907725536
